Column 1,Column 2
羊瑞堂铁锅羊肉（未央路旗舰店）,4.4分2645条评论 未央区未央路万象未央109号一层人均￥81
皇冠假日酒店·朱雀咖啡厅,4分573条评论 碑林区朱雀路中段1号西安皇冠假日酒店一层（省体育场西门）人均￥142
千家粗粮王（小寨店）,4.1分53724条评论 雁塔区小寨东路国贸大厦4楼人均￥67
王氏阳澄湖大闸蟹（高新店）,3.5分 雁塔区丈八北路南窑头夏日景色9号楼底商人均￥81
千家粗粮王（东大街店）,4.3分44444条评论 碑林区东大街骡马市北口向东150米3楼（西北金行楼上、近民生）人均￥61
李想大虾火锅花园（郭杜店）,3.7分8575条评论 长安区郭杜东街郭杜老十字西北角东街广场二楼人均￥57
长安大牌档之西游漫记（大悦城店）,4.1分39条评论 雁塔区慈恩西路777号大悦城L3-01号铺人均￥72
鸭掌门（青龙寺店）,3.6分3125条评论 雁塔区西影路209号纯翠花园小区2楼人均￥58
曼岛咖啡,3.8分2503条评论 雁塔区小寨路街道吉祥路168号豪盛时代华城一二层（西安银行旁）人均￥54
大厨小馆（阳阳国际店）,4.2分297条评论 雁塔区朱雀大街132号阳阳国际2F（交大一附院对面）人均￥58
烤什么名堂·陕菜·烧烤（西门店）,4.3分3520条评论 莲湖区南马道巷与西梆子市街交叉口东南角人均￥55
西安烤鸭店（西荷店）,3.7分1238条评论 碑林区劳卫路中段1号西荷花园商业街人均￥70
重庆无刺纸包鱼,4.5分10条评论 未央区武德路科大时代广场人均￥50
西部马华食府（含光路店）,4.3分3743条评论 雁塔区含光路南段与崇业路交叉口西北角人均￥40
上善素食馆,4.9分296条评论 碑林区东关正街9号幸福逸家人均￥61
鱼酷活力烤鱼（老城根店）,4.5分6条评论 莲湖区星火路22号老城根Gpark商业街区西区方所二楼人均￥90
古都·金麦西饼屋,4.4分986条评论 灞桥区骞柳商业街北口第一家2排17号（3号楼）人均￥25
赛纳维红酒餐厅,4.9分95条评论 雁塔区丈八一路绿地SOHU同盟B座208室人均￥65
荣宴·中餐厅,4.5分2条评论 雁塔区高新二路与科技二路交叉口东南角东丹轩梓园北门（农业银行二楼）人均￥1686
尚克拉拉牛排（钟楼店）,4分12210条评论 碑林区东大街508号西安西北眼镜行三层人均￥79
康桥酒楼,4.5分508条评论 碑林区咸宁西路28号交大一村康桥服务大厦二楼人均￥53
顺水鱼馆（高新路店）,4.5分2115条评论 雁塔区高新路与科技四路十字东南角，枫林绿洲西门向北走150米人均￥65
茶见小院,4.4分133条评论 未央区文景路白桦林居商业街3楼（市政府西门对面）人均￥61
江城小馆陕南妈妈菜·全球旅行餐厅（长安地标老店）,4.4分2243条评论 碑林区西木头市51号联邦中航酒店1楼（荣获2018/2020大众点评双料必吃榜上榜餐厅，南大街西木头市口右转）人均￥43
长安大牌档之凤舞朝阳（朝阳门店）,4.2分1657条评论 新城区环城东路北段益田假日世界购物中心1-2层人均￥57
朱雀国家森林公园,4分2625条评论 鄠邑区南部东涝河上游秦岭梁北侧（鄠邑区涝峪八里坪村）人均￥102
川渝人家（海韵店）,4.6分580条评论 未央区经济技术开发区未央路149号亚凯园1-3层人均￥48
粤港饭店,4.4分7条评论 未央区浐河东路自然界城墅13号楼商铺人均￥79
拉菲达牛排自助（赛格国际店）,3.7分19229条评论 雁塔区长安中路123号赛格国际购物中心7层（与小寨东路交叉口东北角）人均￥57
清真·老兰家（兴善寺西街总店）,4.3分1853条评论 雁塔区兴善寺西街101号（好家商务酒店楼下）人均￥46
秦西坊餐厅,4.3分9条评论 莲湖区西市一路和西市南路交汇处南20米人均￥60
豪客来牛排（唐延中心城店）,4.9分2040条评论 莲湖区唐延路168号唐延中心城1层人均￥57
陇海净和川菜,4.7分599条评论 新城区解放路306号陇海大酒店2楼人均￥47
哈力家石板烤肉（未央路店）,4分 未央区未央路名京·九合院锦荟苑人均￥50
宁厨家饭,4.6分1127条评论 未央区梨园路和生国际西行100米人均￥40
西安中兴和泰酒店,4.7分454条评论 高新区高新区唐延南路10号（唐延南路与南三环十字南300米路西中兴产业园）人均￥477
考骨系烧烤·斗酒场（万和城店）,4分4条评论 新城区胡家庙人均 -
园园果业,4.9分51条评论 新城区联志路联志小区（临潼区骊山826）人均￥10
大叔牛排店,4.8分757条评论 莲湖区西稍门丰镐东路与劳动南路交叉口西南角360号柠檬宫舍24楼2401号（三度汇馆大楼上，大门朝西方向）人均￥45
吉鸡记板栗大盘鸡,4.2分22条评论 雁塔区曲江龙湖星悦荟三层人均￥35
麦当劳（西安长乐路店）,4.1分176条评论 新城区长乐西路218号西北商贸B1楼人均￥33
清真·穆巴拉克西餐厅（回民街店）,4.8分3835条评论 莲湖区庙后街19号（庙后街小学东行100米）人均￥50
古穆鲜酿闪送,3.5分 碑林区翡翠明珠南门人均￥50
外婆印象（西工大店）,4.6分1457条评论 碑林区友谊西路与白庙路交叉口东南角人人乐2楼（人人乐停车场入口进）人均￥40
HLS小酒馆（太和广场店）,4.9分5329条评论 碑林区骡马市南柳巷太和广场2层人均￥21
阿记烧烤（大兴新区店）,4.5分 莲湖区大兴东路33号（大兴东路与永宜路交汇处西南角）人均￥82
卡瓦咖啡·酒吧,4.2分75条评论 未央区凤城九路文景小区西区南门底商（明光路派出所正对面）人均￥40
柴门陕南本土家菜（大雁塔店）,4.9分1390条评论 雁塔区雁塔南路南广场新乐汇A6区人均￥58
阿记烧烤（大兴新区店）,4.5分 莲湖区大兴东路33号（大兴东路与永宜路交汇处西南角）人均￥82
皇家蛋糕（一店）,4.7分816条评论 周至县中心街（烟草局向东50米）人均￥35
阳澄湖大闸蟹（澄宝店）,4.3分57条评论 碑林区朱雀大街北段179号人均￥46
水中天茶十食（高新店）,4.3分26条评论 高新区高新一路9号富德大厦一楼人均￥146
鼎香食府,3.9分664条评论 新城区长乐中路126号沣华国际酒店8楼（近长乐路）人均￥58
清真拉菲尔鱼莊,4分1149条评论 莲湖区许士庙街教场门59号布丁酒店旁边人均￥49
铭粤餐饮,3.5分 未央区凤城七路明光路口人均￥165
百富烤霸（小寨汉唐店）,4.2分13305条评论 雁塔区长安中路89号汉唐书城1楼人均￥18
莱茵河中西餐厅,3.9分1771条评论 鄠邑区草堂路3号人均￥45
洛可可蛋糕坊（紫薇田园都市店）,5分602条评论 雁塔区高新区细柳街办紫薇田园都市B区8号楼4单元102号人均￥88
天龙宝严素食馆（大兴善寺店）,4分584条评论 雁塔区兴善西街55号路北大兴善寺内人均￥42
麦香诚蛋糕（周至八云塔店）,5分1716条评论 周至县八云塔辣子街往北新商业街西口（新商业街西口往北10米、袁师傅肉夹馍斜对门）人均￥20
澳美徕·花胶鸡火锅（高新万达店）,4.9分1555条评论 雁塔区科技七路与唐延路交叉口万达广场4楼人均￥73
迈德思客（纺织城店）,4.1分3707条评论 灞桥区纺织城正街416号（三方超市对面）人均￥16
80后陕西特产超市（大雁塔店）,4.9分84条评论 雁塔区雁塔北路南段永丰酒店一层北侧（大雁塔地铁站F口出口处）人均￥93
夜竹林茶楼,3.5分 雁塔区雁南一路海港城9街F座5楼502号人均￥100
