names,scores,longitude,latitude,mean_price,comment,cluster
小武烤肉,5.0,108.221680,34.160238,40,51,4
奥赛奥章鱼水煎肉,4.9,108.950502,34.258160,53,3487,4
北京羲和雅苑烤鸭坊（熙地港店）,4.7,108.945476,34.338235,86,1332,4
川西豆皮涮牛肚火锅,3.5,108.990498,34.380733,50,9,1
俄士厨房（吉祥路店）,4.9,108.923344,34.221840,78,4572,4
咪咪川菜（白桦林居店）,4.9,108.937256,34.344251,35,522,4
马虎面馆（翠华北路店）,3.5,108.956815,34.226058,18,4,1
勇利赵家烤肉坊（纬二街店）,5.0,108.948817,34.218749,50,14644,3
川坝子老灶火锅（航天店）,3.6,108.942709,34.168791,66,932,1
旺袁记神仙酸汤鱼,4.5,108.891091,34.229910,79,35,5
莱卡味道,4.9,108.933311,34.337710,30,120,4
秦人街西北菜,4.6,108.944223,34.348598,63,281,5
福苗小骆驼烧烤（凤八店）,4.4,108.935310,34.342470,86,5,5
老狼大盘鸡,4.3,111.775513,30.173913,25,454,5
二掌柜水盆羊肉（水文巷店）,4.9,108.929558,34.239354,20,781,4
洛可可蛋糕坊（交大店）,5.0,108.991809,34.243211,74,959,4
永刚烤肉（临潼店）,5.0,109.205167,34.375243,47,3721,4
米斯特比萨（金辉店）,3.8,108.886877,34.249711,67,777,1
粤西渔村,3.5,108.903543,34.291513,110,1,1
小阿妹米线（凤城一路店）,4.9,108.945440,34.313071,23,6175,4
方燕烤猪蹄烧烤（长安广场旗舰店）,4.1,108.926473,34.160789,10,21791,2
爱尚伯爵（泾渭店）,3.9,109.004546,34.462004,27,4594,1
东东包（交大店）,3.9,108.987855,34.245475,15,5086,1
2068香辣虾（电子正街店）,3.7,108.919830,34.204764,58,9679,1
牛一嘴·中国兰州牛肉拉面（财富中心店）,3.9,108.902750,34.241955,15,7178,1
洛可可生日蛋糕坊（城市立方店）,5.0,108.939729,34.193578,69,1063,4
小锅无界（新世界店）,4.2,108.946280,34.261467,46,4228,5
王华峰潼关肉夹馍（太元路店）,4.1,108.982817,34.299999,16,2026,1
Route 就现在蛋糕（线上店）,4.4,108.997042,34.250523,68,4,5
2068香辣虾（全国总店）,4.0,108.947609,34.297171,66,11839,1
欧巴来了韩式料理,4.5,108.950079,34.225737,34,20602,3
老城味道,4.2,108.963601,34.342651,19,18541,2
大城小鸡黄焖鸡排骨米饭(非外卖)（新城总店）,4.2,108.965073,34.271216,18,5178,5
美佳蛋糕（小寨赛格大雁塔店）,5.0,109.027153,34.274596,80,281,4
聚丰苑北京烤鸭店（龙首北路店）,3.7,108.936796,34.292851,51,2098,1
五谷香自助涮烤火锅（青年南街店）,3.8,108.943208,34.148799,37,14355,1
疯狂的棒棒•撸串公司火锅,3.5,108.825699,34.250485,60,1,1
麦之香蛋糕（友谊东路店）,3.9,108.959123,34.238134,33,3665,1
汉釜宫韩式烤肉（临潼店）,4.0,109.225841,34.381532,35,4844,1
Merrykin麦里金（美院专卖店）,4.4,108.932355,34.217972,19,4862,5
老车家牛羊肉泡馍馆（大差市店）,4.5,108.961255,34.256621,24,7300,5
瓦库30号（曼蒂广场店）,4.5,108.965968,34.211906,136,3,5
瑞可爺爺的店（赛格店）,4.7,108.948234,34.223579,30,38229,2
0057香辣虾（小寨店）,3.6,108.947358,34.224938,50,12578,1
慧莹农家乐,3.5,109.011688,34.000732,23,1,1
黄品煌三汁焖锅（东大街店）,4.1,108.950198,34.260763,38,12300,1
味都西饼店（华美店）,4.5,108.944799,34.170923,15,10286,3
小蛮子纸包鱼（电子四路店）,4.3,108.918753,34.205199,49,3775,5
鑫和炝锅鱼（梨园路店）,4.0,108.898753,34.292343,51,3322,1
还是串串火锅,4.2,108.951031,34.252195,80,9,5
飞鹿餐饮,4.9,108.929356,34.270655,49,5416,4
和福顺养生焖锅（长百店）,4.4,108.931653,34.162357,58,16463,3
洛可可蛋糕坊（行政中心店）,4.9,108.952457,34.339880,81,1501,4
唐乐宫-法兰西百谷特面包屋,4.5,108.947116,34.235844,28,5326,5
王魁腊汁肉夹馍（柿园路店）,3.9,108.983610,34.259177,13,2189,1
洛可可生日蛋糕坊（胡家庙店）,5.0,108.993367,34.278424,45,356,4
老北京烤鸭（东厅门店）,4.1,108.959642,34.256620,36,1533,1
上岛咖啡（凤城四路店）,3.9,108.925646,34.325565,58,4551,1
洛可可生日蛋糕坊（三桥店）,5.0,108.833560,34.292595,50,1267,4
金瑞坊炝锅鱼,4.3,108.924953,34.161779,38,4989,5
清真食尚旋转自助火锅,4.2,108.942982,34.266694,31,4082,5
洛可可生日蛋糕坊（龙首印象城店）,5.0,108.948416,34.294737,72,2868,4
菜客·陕菜,3.9,108.935901,34.252767,41,7078,1
千福聚北京果木烤鸭（丰登路店）,4.7,108.894647,34.256643,26,2629,4
小蚂蚁海鲜烧烤,4.7,108.943576,34.258200,58,15,4
维克蛋糕（西稍门店）,3.8,108.921817,34.258431,44,1031,1
熙裕阁中国兰州牛肉拉面馆,4.3,108.947608,34.279293,10,14497,3
兰州马子禄牛肉面,4.3,108.937749,34.322412,22,5950,5
三顾香牛羊肉泡馍（凤城六路店）,4.2,108.949118,34.333655,29,4804,5
三原老黄家（文艺路店）,3.8,108.956259,34.241811,51,1038,1
毛记冒菜（高新店）,4.3,108.872185,34.245183,16,2623,5
大秦山庄,3.5,108.901394,34.053009,61,4,1
清真渔坊秘制烤鱼,4.9,108.932330,34.264692,40,2732,4
第一佳大鸡排（长安广场店）,4.3,108.930515,34.159060,14,2848,5
啊布串串火锅,3.0,109.021186,34.206418,40,1,1
北京涮羊肉,3.9,108.938379,34.224632,39,6891,1
迈德思客（潘村店）,4.3,109.081423,34.230714,10,5931,5
福苗小骆驼烧烤（曲江店）,4.1,108.957389,34.211506,84,1187,1
龙腾火锅（泾渭店）,4.1,108.976761,34.440220,66,6165,1
